Metric,Model,N,value
MSE,GHP,100,4.321357687246188
MSE,GHP,500,4.002259227704813
MSE,GHP,1000,1.6050746363984645
MSE,GHP,2500,0.8725476645086627
MSE,GHP,5000,1.0335899318204025
MSE,UnGHP,100,44.74239674254619
MSE,UnGHP,500,3.9750842047492654
MSE,UnGHP,1000,1.5838342286684766
MSE,UnGHP,2500,1.534076692862933
MSE,UnGHP,5000,1.3264939228447186
SignalMSE,GHP,100,26.03252680703149
SignalMSE,GHP,500,80.60093097312034
SignalMSE,GHP,1000,23.275927213197782
SignalMSE,GHP,2500,18.730425718457727
SignalMSE,GHP,5000,21.024909941236825
SignalMSE,UnGHP,100,98.1589482287481
SignalMSE,UnGHP,500,80.72965792555442
SignalMSE,UnGHP,1000,25.14149434358892
SignalMSE,UnGHP,2500,21.823353582421074
SignalMSE,UnGHP,5000,26.287501814660516
ZeroMSE,GHP,100,3.4933893733560706
ZeroMSE,GHP,500,1.0811234408033727
ZeroMSE,GHP,1000,0.778643817791711
ZeroMSE,GHP,2500,0.1915268912648425
ZeroMSE,GHP,5000,0.27120908400367466
ZeroMSE,UnGHP,100,42.70532486383511
ZeroMSE,UnGHP,500,1.0480030035321197
ZeroMSE,UnGHP,1000,0.6854488853028665
ZeroMSE,UnGHP,2500,0.7603330826679192
ZeroMSE,UnGHP,5000,0.3745910795127601
Accuracy,GHP,100,0.963265306122449
Accuracy,GHP,500,0.9640816326530612
Accuracy,GHP,1000,0.963265306122449
Accuracy,GHP,2500,0.963265306122449
Accuracy,GHP,5000,0.963265306122449
Accuracy,UnGHP,100,0.893061224489796
Accuracy,UnGHP,500,0.963265306122449
Accuracy,UnGHP,1000,0.963265306122449
Accuracy,UnGHP,2500,0.963265306122449
Accuracy,UnGHP,5000,0.963265306122449
Sensitivity,GHP,100,0
Sensitivity,GHP,500,0.022222222222222223
Sensitivity,GHP,1000,0
Sensitivity,GHP,2500,0
Sensitivity,GHP,5000,0
Sensitivity,UnGHP,100,0.08888888888888889
Sensitivity,UnGHP,500,0
Sensitivity,UnGHP,1000,0
Sensitivity,UnGHP,2500,0
Sensitivity,UnGHP,5000,0
Specificity,GHP,100,1
Specificity,GHP,500,1
Specificity,GHP,1000,1
Specificity,GHP,2500,1
Specificity,GHP,5000,1
Specificity,UnGHP,100,0.923728813559322
Specificity,UnGHP,500,1
Specificity,UnGHP,1000,1
Specificity,UnGHP,2500,1
Specificity,UnGHP,5000,1
Prediction Error,GHP,100,45373.604592781085
Prediction Error,GHP,500,64622.9948536101
Prediction Error,GHP,1000,68840.21717867062
Prediction Error,GHP,2500,81497.01185363026
Prediction Error,GHP,5000,78584.56817901731
Prediction Error,UnGHP,100,29.417778489617703
Prediction Error,UnGHP,500,62118.892609587805
Prediction Error,UnGHP,1000,70542.53932980131
Prediction Error,UnGHP,2500,81480.99769044023
Prediction Error,UnGHP,5000,77970.4447458912
MSE,GroupBoosting,100,0.32856149745959695
ZeroMSE,GroupBoosting,100,0
SignalMSE,GroupBoosting,100,8.94417409751125
Accuracy,GroupBoosting,100,0.9722448979591837
Sensitivity,GroupBoosting,100,0.24444444444444444
Specificity,GroupBoosting,100,1
MSE,GroupBoosting,500,0.13029329920150612
ZeroMSE,GroupBoosting,500,0
SignalMSE,GroupBoosting,500,3.5468731449298883
Accuracy,GroupBoosting,500,0.9771428571428571
Sensitivity,GroupBoosting,500,0.37777777777777777
Specificity,GroupBoosting,500,1
MSE,GroupBoosting,1000,0.11162119570145151
ZeroMSE,GroupBoosting,1000,0.04306562045162952
SignalMSE,GroupBoosting,1000,1.9093007244745617
Accuracy,GroupBoosting,1000,0.9706122448979592
Sensitivity,GroupBoosting,1000,0.4
Specificity,GroupBoosting,1000,0.9923728813559322
MSE,GroupBoosting,2500,0.0643509785659558
ZeroMSE,GroupBoosting,2500,0.029873902290264872
SignalMSE,GroupBoosting,2500,0.9684165342396289
Accuracy,GroupBoosting,2500,0.9436734693877551
Sensitivity,GroupBoosting,2500,0.28888888888888886
Specificity,GroupBoosting,2500,0.9686440677966102
